name,column,table
act1,ACTIVITY_ID,ICIS-AIR_FCES_PCES
activity1,ACTIVITY_ID,ICIS_PERMITS
case_number1,CASE_NUMBER,CASE_ENFORCEMENTS
case_number2,CASE_NUMBER,CASE_FACILITIES
ex_prm1,EXTERNAL_PERMIT_NMBR,NPDES_DMRS_FY2020
id1,ID_NUMBER,RCRA_ENFORCEMENTS
id2,ID_NUMBER,RCRA_EVALUATIONS
id3,ID_NUMBER,RCRA_VIOLATIONS
pgm1,PGM_SYS_ID,ICIS-AIR_VIOLATION_HISTORY
reg1,REGISTRY_ID,ECHO_EXPORTER
act2,ACTIVITY_ID,ICIS-AIR_VIOLATION_HISTORY
npdes1,REGISTRY_ID,CASE_FACILITIES
npdes2,NPDES_ID,NPDES_CS_VIOLATIONS
npdes3,NPDES_ID,NPDES_EFF_VIOLATIONS
npdes4,NPDES_ID,NPDES_FORMAL_ENFORCEMENT_ACTIONS
npdes5,NPDES_ID,NPDES_INSPECTIONS
npdes6,NPDES_ID,NPDES_PS_VIOLATIONS
npdes7,NPDES_ID,NPDES_QNCR_HISTORY
npdes8,NPDES_ID,NPDES_SE_VIOLATIONS
permit1,EXTERNAL_PERMIT_NMBR,ICIS_PERMITS
pgm2,PGM_SYS_ID,FRS_PROGRAM_LINKS
pgm3,PGM_SYS_ID,ICIS-AIR_FACILITIES
pgm4,PGM_SYS_ID,ICIS-AIR_FCES_PCES
pgm5,PGM_SYS_ID,ICIS-AIR_FORMAL_ACTIONS
pgm6,PGM_SYS_ID,ICIS-AIR_STACK_TESTS
pgm7,PGM_SYS_ID,ICIS-AIR_VIOLATION_HISTORY
pgm8,PGM_SYS_ID,ICIS_FEC_EPA_INSPECTIONS
PGM_SYS_ID,PGM_SYS_ID,POLL_RPT_COMBINED_EMISSIONS
pws1,PWSID,SDWA_ENFORCEMENTS
pws2,PWSID,SDWA_PUB_WATER_SYSTEMS
pws3,PWSID,SDWA_SITE_VISITS
pwsid1,PWSID,SDWA_SERIOUS_VIOLATORS
registry1,REGISTRY_ID,CASE_FACILITIES
registry2,REGISTRY_ID,ECHO_EXPORTER
registry3,REGISTRY_ID,FRS_PROGRAM_LINKS
registry4,REGISTRY_ID,ICIS-AIR_FACILITIES
registry5,REGISTRY_ID,ICIS_FEC_EPA_INSPECTIONS
registry6,REGISTRY_ID,NPDES_INSPECTIONS
zip1,FAC_ZIP,ECHO_EXPORTER
zip2,ZIP_CODE,ICIS-AIR_FACILITIES
